Word,Count
making,84
miserably,12
lap,11
tearing,8
piece,35
stayed,13
explained,20
nail,13
deliver,5
theyll,20
thatll,6
knock,25
brought,61
friday,6
pushed,33
side,144
hammer,7
tiptoe,6
worked,28
jumped,41
twenty,32
post,30
earth,64
badly,7
amazement,12
cheerfully,14
spread,14
marmalade,5
forty,5
pelting,5
fireplace,12
bullet,6
ducked,8
waist,6
shut,82
pack,17
missing,15
wrenched,8
speeding,8
sport,5
opposite,22
em,15
whenever,12
eat,44
drink,25
howling,30
hungry,18
blowing,7
gloomy,8
hotel,13
city,5
twin,31
damp,20
sheet,12
windowsill,5
passing,23
wondering,24
toast,9
owner,15
desk,45
dining,18
forest,66
field,48
halfway,18
bridge,7
hasnt,16
parked,5
coast,6
beat,32
count,129
tomorrow,54
fun,16
package,21
rock,39
sea,55
perched,9
certain,37
storm,28
clapping,6
gentleman,12
kindly,13
agreed,26
boat,40
wicked,8
bobbing,7
iron,20
below,44
aboard,7
icy,8
whipped,10
slipping,6
sliding,5
led,35
strongly,8
wooden,21
empty,65
fire,105
eh,19
chance,73
reaching,6
cheer,25
wave,20
hut,20
fierce,21
filthy,8
moth,5
eaten,13
sofa,27
lumpy,7
ragged,7
shivered,9
comfortable,7
hunger,5
drowned,8
roll,19
thunder,12
lighted,5
wrist,17
nearer,32
creak,6
steal,14
crunching,5
upright,5
knocking,19
key,77
cannon,5
stupidly,6
warn,12
armed,11
pause,36
clean,20
hinge,7
doorway,13
glinting,8
beetle,10
stooping,5
easily,21
frame,6
dropped,55
o,41
yeh,114
journey,27
strode,21
lump,7
squeaked,6
terrified,15
shadowy,9
yer,79
yehve,9
mom,21
breaking,23
entering,14
ah,60
gun,5
knot,5
summat,7
fer,35
taste,11
overcoat,6
slightly,33
squashed,5
box,67
lost,90
introduced,5
rubeu,5
hogwart,156
enormou,18
rubbing,6
stronger,12
drew,53
filled,24
flickering,7
warmth,11
sunk,8
hot,30
bath,7
weight,16
copper,6
kettle,8
sausage,11
teapot,9
mug,5
burnt,5
touch,36
don,31
anymore,16
worry,31
wonderful,32
gulp,7
wiped,9
yehll,6
shrank,5
shadow,50
gettin,9
abou,6
loud,59
wonder,50
thundered,7
jus,11
anger,17
fill,5
cowering,5
growled,14
nothin,8
mark,26
pale,69
sounded,27
bewildered,10
forbid,6
braver,5
him;,6
rage,16
eagerly,26
panic,16
gasp,16
boil,6
wizard,138
whistling,6
sank,34
lower,23
trained,5
mum,26
reckon,15
read:,6
wizardry,13
sore,7
warlock,6
pleased,41
witchcraft,8
please,64
list,28
necessary,23
equipment,5
term,24
begin,36
await,5
minerva,5
exploded,8
firework,9
decide,9
stammered,11
remind,8
cart,31
horse,67
quill,23
tongue,25
teeth,57
scribbled,5
upside,5
clamped,7
beak,10
ashen,5
faced,24
firelight,5
interested,22
folk,10
swore,8
rubbish,12
indeed,60
shrieked,14
frog,21
witch,32
draw,16
wanting,19
married,14
herself,33
blown,7
scuttled,5
outrage,5
kid,8
urgently,9
faded,13
gotta,11
part,71
incredible,7
scared,27
blimey,7
gulped,9
nah,6
spell,50
lookin,6
afraid,46
cause,60
friendly,10
witche,20
safe,54
girl,72
anythin,13
outta,13
village,11
halloween,20
job,30
ordinary,20
powerful,23
evil,35
curse,26
bone,22
remembered,24
cruel,8
sadly,12
ruined,8
load,23
courage,23
glaring,10
fist,16
clenched,7
accept,19
beating,15
wizarding,17
type,7
battered,5
umbrella,13
sword,17
failed,10
breathing,36
vol,7
dunno,14
human,27
die,65
trance,13
couldve,10
weak,31
carry,22
somethin,7
/,7
respect,13
blazing,11
toad,22
lock,34
sorcerer,21
kick,6
quietly,50
ridiculou,8
grow,26
realizing,6
positively,11
beaming,12
grateful,16
wand,190
hogwarts,13
born,26
headmaster,24
am,327
fool,14
teach,14
magic,105
whirled,6
squeal,6
dancing,11
clasped,7
bottom,17
curly,8
poking,9
hole,32
trouser,7
cast,10
temper,11
eyebrow,14
follow,70
keen,11
arent,26
expelled,33
truth,33
third,34
gamekeeper,12
diagon,14
tapping,8
sunlight,14
claw,7
scrambled,10
swelling,6
fluttered,5
attack,58
fiercely,11
pay,13
handful,8
coin,6
knut,6
bronze,6
tied,12
flew,42
puncture,5
learn,47
dyeh,6
didn,6
gringott,33
wouldn,6
goblin,20
yehd,5
rob,6
m,36
proudly,8
followed,73
clear,36
gleamed,5
settled,9
shame,17
row,23
giving,33
speed,30
eager,11
land,37
enchantment,6
dragon,53
vault,23
mile,20
manage,8
daily,12
prophet,9
many,147
ministry,23
page,31
minister,6
corneliu,6
fudge,21
advice,7
main,12
d,22
solution,5
folded,11
clambered,7
station,33
panting,8
train,84
ticket,11
student,81
glove,5
